,M,SNR,Phase_shift,QAM_symbols
1,4,50,0,"[-0.70360429-0.70159657j -0.70014573-0.70137479j  0.70566933+0.70314179j
 ...  0.69975772+0.70384993j  0.70119606-0.70660084j
 -0.70279779+0.70413502j]"
2,4,50,0,"[ 0.7000177 +0.70179883j -0.70212806-0.70086227j -0.70218267-0.70220296j
 ...  0.70077174-0.69971404j  0.70187428-0.70011307j
 -0.70004078-0.69686861j]"
3,4,50,0,"[-0.70123992+0.70069977j -0.70084166-0.69769466j  0.70011798+0.70321144j
 ...  0.70473127-0.70121622j -0.70279077-0.69710962j
 -0.70019705+0.70311917j]"
4,4,50,3,"[-0.73731063+0.65992279j -0.73770734+0.66418025j -0.73294174+0.66312998j
 ... -0.73532188+0.66368393j -0.73351069+0.66250507j
  0.66401456+0.73676311j]"
5,4,50,3,"[-0.66543926-0.7388868j  -0.66141988-0.73965778j  0.66215433+0.74117178j
 ...  0.66095932+0.73695165j -0.7406808 +0.66314539j
  0.73608963-0.66396673j]"
6,4,50,3,"[-0.6639389 -0.7381671j  -0.66513946-0.74066177j -0.73771193+0.66232458j
 ... -0.667774  -0.73768193j  0.73539061-0.66734214j
  0.66304283+0.73825529j]"
7,4,50,6,"[-0.62710606-0.76903653j -0.62459396-0.77134922j  0.62396022+0.76670983j
 ...  0.62386638+0.77113752j  0.77356863-0.62065707j
  0.77050838-0.62401312j]"
8,4,50,6,"[-0.61995248-0.77091608j  0.62324806+0.77282015j -0.76928596+0.62475722j
 ...  0.76833947-0.62159975j -0.76900383+0.62451251j
  0.76479766-0.6254115j ]"
9,4,50,6,"[ 0.62115371+0.7750131j  -0.77613702+0.62279859j -0.62062897-0.77134193j
 ...  0.77127709-0.61967448j -0.62801071-0.76914238j
 -0.62338683-0.76914975j]"
10,4,50,9,"[ 0.80390584-0.58568307j  0.80643638-0.58424447j -0.80504273+0.58149823j
 ... -0.58344471-0.80451889j  0.58777022+0.79848159j
 -0.80486357+0.58321685j]"
11,4,50,9,"[ 0.58350029+0.80377598j  0.59188687+0.80557508j -0.58227479-0.80130941j
 ...  0.58449133+0.80347725j  0.58607585+0.80637762j
 -0.58295019-0.80131296j]"
12,4,50,9,"[ 0.58513053+0.80395887j -0.58192414-0.80473381j  0.80155785-0.58482378j
 ...  0.80615186-0.58486011j  0.80124495-0.58533582j
  0.7970169 -0.57990838j]"
13,4,50,12,"[-0.54151529-0.83058211j -0.83219216+0.54205707j  0.53688208+0.82837861j
 ...  0.83358788-0.5412019j   0.53602821+0.83223448j
  0.542716  +0.83114413j]"
14,4,50,12,"[-0.83435288+0.53898391j -0.82993322+0.53466974j  0.83054683-0.53765031j
 ... -0.83075211+0.54375542j -0.83396117+0.54100093j
 -0.53735535-0.8314297j ]"
15,4,50,12,"[ 0.83192709-0.54002504j  0.54170392+0.82986883j -0.83215692+0.53601472j
 ... -0.83273799+0.53716925j  0.83498923-0.54186243j
  0.53632491+0.83073776j]"
16,4,50,15,"[ 0.86085823-0.4969226j  -0.49422908-0.85972582j  0.85871977-0.49668041j
 ... -0.86285512+0.49400367j  0.85873906-0.49640608j
 -0.49633968-0.85945075j]"
17,4,50,15,"[-0.86011893+0.49851653j -0.49510435-0.86164395j  0.49636983+0.85756015j
 ... -0.5017286 -0.85790661j -0.85839607+0.49651531j
 -0.49776604-0.86193762j]"
